Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
Introducción a la inteligencia artificial Specialization,4.7,Intermediate level,Flexible schedule,Not specified,Not specified,160,320
"Custom Models, Layers, and Loss Functions with TensorFlow",4.9,Intermediate level,Flexible schedule,Not specified,"Functional API, Custom and Exotic Models with Functional API, Custom Loss Functions, Custom Layers",31,960
"Excel/VBA for Creative Problem Solving, Part 1",4.8,Beginner level,Flexible schedule,Utilize VBA to define and implement custom user-defined functionsCreate macros to automate procedures in ExcelIdentify the basic programming structures in VBAAutomate Excel’s Goal Seek and Solver tools and use numerical techniques to create “live solutions” to solve targeting and optimization problems,"Microsoft Excel Vba, Computer Programming, Problem Solving, Debugging",20,4113
Writing and Editing: Word Choice and Word Order,4.7,Beginner level,Flexible schedule,Learn how the words you choose can change the decisions people make  Use syntax strategicallyWrite with originality and produce sentences that nobody else can writeArrange a complex set of information in a reader-friendly way  ,"Creativity, Time management, Persuasion, Writing, Editing",20,1817
Fundamentals of Software Architecture for Big Data,3.3,Advanced level,Flexible schedule,"Practice software engineering fundamentals; test first development, refactoring, continuous integration, and continuous delivery.Architect and create a big data or distributed system using rest collaboration, event collaboration, and batch processing.Create a performant, scalable distributed system that handles big data.","Software Engineering, Distributed Computing, Big Data, Microservices, Real-time Systems",19,40
Big Data – Introducción al uso práctico de datos masivos  Specialization,4.6,Beginner level,Flexible schedule,Not specified,Not specified,40,1596
Introduction to Computer Information Systems Specialization,4.4,Beginner level,Flexible schedule,Not specified,"Network Security, Computer Software, Productivity, digital literacy, Computer Hardware",40,94
Advanced Computer Vision with TensorFlow,4.8,Intermediate level,Flexible schedule,Not specified,"Salience, Image Segmentation, Model Interpretability, Class Activation Maps, TensorFlow Object Detection API",19,453
Introduction to 3D Modeling,3.6,Beginner level,Flexible schedule,Gain interest in 3D design and learning how to use 3D modeling software.Utilize 3D surface and 3D solid modeling tools to create and edit more complex designs.Round out your foundational knowledge with 3D rendering and creating 3D printable models.,"3d modeling, Rhino",27,10
"Python, Bash and SQL Essentials for Data Engineering Specialization",4.5,Beginner level,Flexible schedule,"Develop data engineering solutions with a minimal and essential subset of the Python language and the Linux environmentDesign scripts to connect and query a SQL database using PythonUse a scraping library in Python to read, identify and extract data from websites 
","Data Science, Big Data, Python Programming, Bash (Unix Shell), Database (DBMS), Information Engineering, SQL, Web Application",80,266
Introduction to Self-Driving Cars,4.7,Advanced level,Flexible schedule,Understand commonly used hardware used for self-driving carsIdentify the main components of the self-driving software stackProgram vehicle modelling and control  Analyze the safety frameworks and current industry practices for vehicle development,Not specified,35,2778
TDD – Desenvolvimento de Software Guiado por Testes,4.7,Intermediate level,Flexible schedule,Not specified,"Software Testing, Code Refactoring, Software Quality, Junit",17,403
Building AI Applications with Watson APIs,4.3,Intermediate level,Flexible schedule,Describe the technologies involved in the creation of AI applications.Utilize Watson APIs to create useful chatbots.Deploy chatbots to various channels such as Facebook and Slack.Leverages Watson speech APIs to give your chatbot a voice.,"Python Programming, Machine Learning, Artifical Intelligence, Watson AI, Chatbot",20,722
Robotics: Aerial Robotics,4.5,Not specified,Flexible schedule,Not specified,"Motion Planning, Robotics, Quadcoper, Matlab",17,3016
Mathematics for Machine Learning: Multivariate Calculus,4.7,Beginner level,Flexible schedule,Not specified,"Linear Regression, Vector Calculus, Multivariable Calculus, Gradient Descent",17,5524
FinTech: Finance Industry Transformation and Regulation Specialization,4.7,Beginner level,Flexible schedule,Not specified,"Cryptocurrency, fintech disruption, Financial Technology, Blockchain",40,543
Discrete Optimization,4.8,Intermediate level,Flexible schedule,Not specified,"Constraint Programming, Branch And Bound, Discrete Optimization, Linear Programming (LP)",65,742
Continuous Delivery & DevOps ,4.6,Beginner level,Flexible schedule,"How to diagnose a team’s delivery pipeline and bring forward prioritized recommendations to improve itThe skill sets and roles involved in DevOps and how they contribute toward a continuous delivery capabilityHow to review and deliver automation tests across the development stackHow to facilitate prioritized, iterative team progress on improving a delivery pipeline  ","Unit Testing, System Testing, Continuous Delivery, Infrastructure As Code, Devops",8,1592
Probability Theory: Foundation for Data Science,4.5,Intermediate level,Flexible schedule,Explain why probability is important to statistics and data science.See the relationship between conditional and independent events in a statistical experiment.Calculate the expectation and variance of several random variables and develop some intuition.,"""Bayes Theorem"", continuous random variables, Probability, discrete random variables, central limit theorem",40,144
Introduction to Software Testing,4.4,Intermediate level,Flexible schedule,"You will gain an understanding of the theory of testing.You will practice writing tests for a variety of quality intent, including code coverage, defect finding, and statistical testing.You will develop test plans to guide the testing stage of the software development lifecycle.You will create defect reports to provide transparency and understanding to supervisors, colleagues, and users.","Writing Defect Reports, Writing Tests, Testing Vocabulary, Writing Test Plans, Understanding of Testing Theory",30,682
Expressway to Data Science: Python Programming Specialization,4.7,Beginner level,Flexible schedule,Fundamentals of Python ProgrammingData Manipulation Packages such as Numpy and PandasData Visualization Packages such as Matplotlib and Seaborn,"Python Libraries, Python Programming, Numpy, Pandas, Matplotlib",40,111
"ETL and Data Pipelines with Shell, Airflow and Kafka",4.5,Intermediate level,Flexible schedule,"Describe and contrast Extract, Transform, Load (ETL) processes and Extract, Load, Transform (ELT) processes.Explain batch vs concurrent modes of execution.Implement an ETL pipeline through shell scripting.Describe data pipeline components, processes, tools, and technologies.","Extract Transform and Load (ETL), Data Engineer, Apache Kafka, Apache Airflow, Data Pipelines",16,274
Introduction to Linear Algebra,0,Intermediate level,Flexible schedule,Not specified,Not specified,36,0
