Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
Foundations of Virtual Instruction ,4.5,Not specified,Flexible schedule,Not specified,"Education, Teaching, Online Learning, Lesson Plan",13,1455
Strengthening Your Widening Network ,4.7,Intermediate level,Flexible schedule,Not specified,Not specified,8,108
Try RRI! A guide for Responsible Research and Innovation,0,Beginner level,Flexible schedule,Not specified,Not specified,6,0
Race and Cultural Diversity in American Life and History,4.6,Beginner level,Flexible schedule,Not specified,Not specified,7,296
Understanding Memory: Explaining the Psychology of Memory through Movies,4.7,Not specified,Flexible schedule,Not specified,"Psychology, Term (Time), Semantics, Personal Development",8,2183
Mapas conceituais para aprender e colaborar,4.9,Beginner level,Flexible schedule,Not specified,Not specified,13,360
Introducción al Aprendizaje Universitario,4.4,Intermediate level,Flexible schedule,Not specified,Not specified,7,520
Responsible Conduct of Research,0,Beginner level,Flexible schedule,Not specified,Not specified,7,0
Leadership Through Social Influence,4.7,Not specified,Flexible schedule,Not specified,"Communication, Negotiation, Leadership, Communications Management",4,1266
Leading from Within,0,Not specified,Flexible schedule,Not specified,Not specified,26,0
Women in Leadership: Inspiring Positive Change,4.7,Not specified,Flexible schedule,Not specified,"Assertiveness, Communication, Negotiation, Leadership",13,528
New Models of Business in Society,4.7,Not specified,Flexible schedule,"New models of how to run an effective business that makes the world a better placeCorporate responsibility, philanthropy, and building sustainable valueCreating value for stakeholders through conscious capitalism and stakeholder theoryHow to develop a business idea that makes money and makes the world a better place","Environmental Economics, Business Model, Stakeholder Theory, Management, Entrepreneurship",5,3969
Creativity Toolkit I: Changing Perspectives,4.8,Beginner level,Flexible schedule,Not specified,"Problem Solving, Emotional Intelligence, Knowledge of Human Behavior, Personal Productivity, Adaptibility",20,559
A Technical Leader's Qualities and Effectiveness,0,Beginner level,Flexible schedule,Understand and apply the principles of establishing a vision for an organization.Understand the value of collaboration in bringing a team together under one vision.Understand why stakeholders are important to any leader's actions and how to manage them.,"Negotiation, Relationships, Managing Stakeholders, Collaboration, Resilience",7,0
Technical Managerial Written Skills,0,Beginner level,Flexible schedule,"Write for the educated layperson. Apply brevity and focus when writing. Address your reader's ""hot buttons"" (issues in which they are  most interested) so as to become a more influential writer.","Business Writing, Influence, Targeting your audience, Brevity, Clarity",18,0
Leading Oneself with Self-Knowledge,4.6,Beginner level,Flexible schedule,Describe the importance of self-awareness and create a plan to parctice and habitualize it.Describe how intentional change theory operates and how effective implementation of this theory can drive behavior change Understand what factors shape and influence our worldview and how we react,"Personal Identity, Cognitive Bias, Personal Energy, Strengths, Awareness",37,31
Structured Approach to Problem Solving,4.7,Beginner level,Flexible schedule," Explain the lifecycle of DS project and role of structured thinking in DS project. Define a problem statement using the SMART framework. Explain the activities, best practices, and pitfalls in the implementation phase. Construct MECE issue tree to break-down business problems into parts. Create a problem statement worksheet to scope business problems. Explain the role of human centered design during solutioning of business problems.","Critical Thinking, structured thinking, Problem Solving, Human Centric Design, problem statement",12,28
Superbosses: Managing Talent & Leadership,4.9,Beginner level,Flexible schedule,How to become a leader that creates other leadersHow to see the potential in othersHow to generate and regenerate talentHow to produce tangible results for your organization,"Growth Strategies, People Development, Leadership Development, Leadership And Management, Influencing",17,85
Experiencing Design: Deepening Your Design Thinking Practice,4.9,Beginner level,Flexible schedule,"How design thinking done well can impact your practice and outcomesHow to navigate six key phases of design thinking - Immersion, Sensemaking, Alignment, Emergence, Imagining, and Learning in ActionHow to develop a Personal Development Plan (PDP) to chart your progress ","Strategic Thinking, Innovation, Innovation Management, Design Thinking",11,27
Risk Management in Personal Finance,4.8,Beginner level,Flexible schedule,Not specified,"Risk Management, Insurance, Health Insurance, Estate Planning, Life Insurance",6,22
Strategies for Converting and Retaining Customers Online,4.7,Beginner level,Flexible schedule,Explore how to leverage keywords and search engine marketing in your ad campaignsAnalyze a landing page and identify successful and unsuccessful elementsIdentify tactics of customer conversion and retention to add to your digital marketing plan,"Landing Page, Search Engine Marketing, ad campaigns, Marketing, PPC",10,85
Speaking to inform:  Discussing complex ideas with clear explanations and dynamic slides,4.8,Beginner level,Flexible schedule,Not specified,"Communication, Presentation, Speech, Public Speaking",13,366
El liderazgo del director de proyectos,4.9,Beginner level,Flexible schedule,Not specified,"Toma de decisiones, Negociación, Trabajo en Equipo, Liderazgo, Comunicación",23,118
Introducción a la gestión ágil de proyectos,4.8,Beginner level,Flexible schedule,Not specified,Not specified,53,61
Data-Driven Leadership Skills Course 1: Leadership Narrative,0,Intermediate level,Flexible schedule,"Critically evaluate, with particular reference to digital data, traditional leadership models Analyse and assess leadership narratives and whether they help or hinder modern leaders in a digital ageDistinguish between agile and efficient leadership structures and their relationship to dataDescribe and evaluate the role of collective decision making and agile teams","Data-Informed Decision-Making, Agile Management, Leadership, Leadership Development, Leadership And Management",11,0
Gmail en Español,4.8,Beginner level,Flexible schedule,"Usar la interfaz de Gmail para redactar, responder y reenviar mensajes, así como darles formatoOrganizar sus mensajes con GmailIdentificar formas de personalizar Gmail para aumentar la productividadUsar filtros y la búsqueda avanzada para encontrar mensajes","File Shortcut, Email, Signature, Confidentiality",3,223
Supporting Clients,4.9,Beginner level,Flexible schedule,Not specified,"onboarding preparation, Networking, Occupational guidance, resume preparation",17,10
Healthy Aging and the Future of Cannabis Research,4.7,Beginner level,Flexible schedule,Learn how cannabis may influence inflammation and other disorders through its effects on inflammation.Learn how cannabis may influence exercise performance and recovery. Learn how cannabis may influence the aging process. Learn about the future of cannabis research. ,"Psychology, Research, Public Health, Personal Development",7,85
"Conversations That Inspire: Coaching Learning, Leadership and Change",4.7,Not specified,Flexible schedule,Not specified,"Active Listening, Change Management, Leadership, Coaching",13,327
Privacy in Europe,4.4,Intermediate level,Flexible schedule,"Understand legal fundamentals in European privacy lawCreate awareness for the role of privacy protection and the rule of law Learn about the human rights background of privacy protectionBecome aware of the essential role of law in designing IT, crypto and security systems ",Not specified,18,84
FinTech Foundations and Overview,4.7,Beginner level,Flexible schedule,Not specified,Not specified,15,483
Speaking and Presenting: Pitches and Persuasion,4.6,Beginner level,Flexible schedule,"How to inspire people with a sense of ""informed hope""How to treat storytelling as an ""entrepreneurial superpower"" How to expand your range of dynamic gestures and facial expressionsHow to increase the creativity you bring to your next negotiation","Ingenuity, Problem Solving, Dynamic Movement, Optimism, Resilience",9,55
Building and Managing Superior Skills,4.6,Intermediate level,Flexible schedule,Not specified,"Self-Assessment, Skills Management, Self-Coaching, assessment, Generative AI awareness",18,139
Leading Through Effective Communication ,0,Beginner level,Flexible schedule,Not specified,"Sending a message with relatability, Building future leaders, Sharing your vision as a leader, Assembling a successful team, Making safe spaces to communicate",8,0
Futures Thinking,0,Not specified,Flexible schedule,Not specified,"Imagining the future with a frame, Harnessing imagination in scenarios, Regaining power over the future, Asking the right questions",7,0
Perspective-Taking,0,Not specified,Flexible schedule,Not specified,Not specified,5,0
Information Gathering and Vetting,0,Not specified,Flexible schedule,Not specified,"Getting the most of data you collect, Collecting data with a hypothesis, Sharing new insights from data",5,0
Sustainable Consumption and Health,0,Intermediate level,Flexible schedule,Analyze health impacts of global trade and of major risk factorsIdentify goals and steps for achieving sustainable consumption ,"Problem Solving, Performance, disease, Flow Network",13,0
Cultural intelligence: Become a global citizen,4.7,Not specified,Flexible schedule,Not specified,Not specified,18,152
Health Systems Development: A Focus on Health Service Delivery and Human Resources for Health,4.7,Beginner level,Flexible schedule,Apply a root cause analysis approach in order to diagnose service delivery specific bottlenecks.Critique strategies to mitigate global human-resources-for-health challenges to support evidence informed decision making for health system reform.,Not specified,20,55
Digital Fashion Reality,4.5,Intermediate level,Flexible schedule,"Describe the phygitalization of fashion in the context of digital developments and how they have connected with established physical systems.Outline the development and implementation of avatars for use in fashion.Relate avatars to the rise of the Metahuman, including their application to design, production, and sales development for the Metaverse.","Fashion Avatar Creation, Phygitalization (Combining Physical + Digital), Digitalization in Fashion, Blockchain, Metaverse",17,28
Organisational behaviour: Know your people,4.8,Beginner level,Flexible schedule,"Explain how individuals may differ across a range of attributes including their personality, values, perceptions, and emotions   Analyse the implications of workplace diversity, including challenges and potential benefits    Explain the motivational characteristics of work and apply these to job design    Analyze the role of team dynamics and composition in the team performance  ","Motivation, Diversity and Inclusion, Communication, Human Resources (HR)",19,1288
Plan a Successful Freelancing Business ,4.8,Beginner level,Flexible schedule,Not specified,Not specified,9,53
Writing Skills for Engineering Leaders,4.7,Beginner level,Flexible schedule,Not specified,Not specified,16,457
The Discipline of Leadership,4.9,Beginner level,Flexible schedule,Not specified,Not specified,22,12
"Fandom, Social Media, and Authenticity in the Digital Age",4.7,Beginner level,Flexible schedule,"Define and describe the relationship between fandom, popular culture, and digital media as each impact our identity and interactions with othersApply critical self-reflection and close reading frameworks through personal and professional writingEngage with pop culture and fandom communities by leveraging online platforms to make connections and synthesize learningReflect on your personal relationship to social media, identity, representation, and social interaction online","Social Media, analysis, Writing, digital literacy, close reading",16,10
How Self-Motivation Shapes Personal Success,0,Beginner level,Flexible schedule,Not specified,Not specified,17,0
Digital Information Literacy,4.6,Intermediate level,Flexible schedule,"Design aestheticsEthically using media (images, audio, and video)Creating multimedia projects","Multimedia, Communication, Media Literacy, Graphic Design, Design Thinking",19,18
"Sustainable Business: Big Issues, Big Changes",4.7,Beginner level,Flexible schedule,Not specified,Not specified,11,90
Introduction to Integrative Nursing,4.7,Beginner level,Flexible schedule,"Describe the six principles of Integrative Nursing and their key behavioral indicators. Describe key elements and strategies of Integrative Nursing assessment.Apply Integrative Nursing goals and strategies to improve symptom management in patients.Apply Integrative Nursing principles and clinical decision making within your scope of nursing practice.","improved symptom management, patient-centered care, wellbeing, evidence-based practice, integrative healthcare",15,76
"Climate Change, Sustainability, and Global Public Health",4.9,Beginner level,Flexible schedule,"Understand climate change, and how it impacts every human and ecosystem on the planet.Evaluate the causes and impacts of climate change.Explore different sustainability frameworks.Evaluate the causes and impacts of climate change.Explore different sustainability frameworks.","Sustainability, Climate Change, Public Health",16,45
Healthcare Consumerism and Implication for Care Delivery ,4.6,Beginner level,Flexible schedule,Not specified,Not specified,14,67
Estimación de la línea base de tiempos y costos,4.9,Intermediate level,Flexible schedule,"Entender la importancia de la planeación en los proyectos para la creación de una línea base integrada sólida.Entender la importancia de la estimación de tiempos y costos, y su influencia en la probabilidad de éxito de los proyectos complejos.Conocer y aplicar los diferentes tipos de estimación dependiendo de la fase en que se encuentre un proyecto complejo.Determinar la línea base de tiempo y costos para hacer la ejecución, seguimiento y control adecuado de proyectos complejos.","Estimación de valores críticos, Desarrollo de curvas S, Gerencia de proyectos, Desarrollo de cronogramas, Gestión de recursos",37,202
Game Design and Development 3: 3D Shooter,4.7,Intermediate level,Flexible schedule,Not specified,"Game Making, Unity, Video Game Development, technology, Game Design",13,49
Manage a Real Estate Business,0,Beginner level,Flexible schedule,Not specified,"Business Economics, Financial Basics, Smart Criteria, Fair Housing, Mindset",23,0
Scale Up Your Startup Specialization,4.1,Intermediate level,Flexible schedule,Not specified,"Leadership, Management, strategy, Entrepreneurship",40,11
Principios de diseño UX/UI,0,Beginner level,Flexible schedule,Describa los fundamentos del diseño y la investigación de la experiencia del usuario (UX)Describa las consideraciones de accesibilidad en el diseño Ponga en práctica el desarrollo de empatía hacia el usuario a través de la investigaciónCree wireframes y prototipos en Figma,Not specified,21,0
Speaking to persuade: Motivating audiences with solid arguments and moving language,4.8,Beginner level,Flexible schedule,Not specified,Not specified,15,306
Conflict Management Project,4.7,Not specified,Flexible schedule,Not specified,Not specified,5,102
Getting Started with Leadership,4.7,Advanced level,Flexible schedule,"To understand what leadership is, how to navigate the context they lead within, and how to manage their time as a leader.To identify current key stakeholders and their relative importanceThe difference between managing and leading and how these conflate in today's professional environmentThe essence of credibility","Stakeholder Management, Time management, Organizational Structure, Leadership And Management, Influencing",24,50
Feedback Loops: Feedback Fundamentals ,0,Beginner level,Flexible schedule,"How to break out of ""Feedback Ruts""How to address vague feedback, biased feedback, and ""noisy"" feedbackHow to help people (including yourself) develop effective ""self-feedback"" systems and strategies","Communication, Creativity, Leadership, People Management",14,0
Inglés Empresarial: Finanzas y Economía,4.7,Not specified,Flexible schedule,Not specified,"Communication, Negotiation, Budget, Leadership, Finance, Language",29,408
C++ Data Structures in the STL,4.5,Intermediate level,Hands-on learning,Analyze the existing application and create a C++ Vector to populate with data from a file.Use a C++ Set data structure to uniquify the data from the Vector. Create a C++ Map of the data and look up a record based on a unique key.,"C++ File I/O, C++, C++ Containers in the STL, Object-Oriented Programming (OOP), C++ Data Structures",2,33
Linux: Processes & System Resource Management for DevOps,4.7,Intermediate level,Hands-on learning,Use various Linux commands to manipulate and manage processesUse tools available on the command line for process management and to view and debug processes,"memory management, Resource Management, Linux, Devops, Processes",2,14
¿Cómo convertir mi idea en empresa?,4.7,Beginner level,Flexible schedule,Not specified,Not specified,15,453
Becoming Part of the Globalised Workplace,4.5,Not specified,Flexible schedule,Not specified,Not specified,10,63
Effective Communication in the Globalised Workplace - The Capstone,4.7,Not specified,Flexible schedule,Not specified,Not specified,4,24
Saving Money for the Future,4.6,Beginner level,Flexible schedule,Not specified,"retirement savings, setting financial goals, saving money, planning for retirement, paying for college",9,26
Speaking and Presenting: Conversation Starters,4.6,Beginner level,Flexible schedule,"How to incorporate a ""little bit of mischief"" to your presentations in a way that delights and informs your audienceHow to use ""mirroring"" and follow-up questions to establish trust and build rapport How to connect with people via the ""language of common life""How to reimagine the experience of starting a conversation with a stranger","Ingenuity, Communication, Networking, listening, Clarity",9,32
Estilos de Liderazgo: opciones para avanzar en desafíos complejos,4.9,Intermediate level,Flexible schedule,  Identificar y caracterizar tus propósitos.Identificar y caracterizar los desafíos y oportunidades que enfrentas para llegar a ellos.,Not specified,19,1718
Autoliderazgo y gestión de emociones para avanzar en desafíos complejos,4.9,Intermediate level,Flexible schedule,"Conectar con tus propósitos Profundizar tu autoconocimiento consciencia de ti: tus recursos y fortalezas, miedos, carencias y excusas  Descubrir los compromisos internos que a veces dificultan tu avance  Mejorar tus habilidades para  gestionar tus emociones productivamente y movilizarte a tener la vida que quieres tener ",Not specified,15,1589
Speaking to Inspire: Ceremonial and Motivational Speeches,4.8,Beginner level,Flexible schedule,Not specified,Not specified,15,144
Habilidades gerenciales: Proyecto final,4.8,Beginner level,Flexible schedule,Not specified,Not specified,7,259
Agiles Projektmanagement,0,Beginner level,Flexible schedule,"Den Ansatz und die Philosophie von agilem Projektmanagement sowie die Werte und Prinzipien erklärenDie Säulen von Scrum und wie sie Scrum-Werte unterstützen erörternDie fünf wichtigen Scrum-Ereignisse beschreiben – und wie jedes einzelne Ereignis für ein Scrum-Team eingerichtet wirdErläutern, wie Sie ein agiles Team coachen und ihm helfen, Herausforderungen zu meistern","•\tCoaching, •\tEinflussnahme, •\tAgiles Management, •\tScrum, •\tProblemlösung",22,0
Household Surveys for Program Evaluation in LMICs,0,Intermediate level,Flexible schedule,Not specified,"Survey Design, Evaluation, sampling",26,0
Solución de problemas y toma de decisiones,4.8,Beginner level,Flexible schedule,Not specified,Not specified,11,640
Leading Organizations,4.7,Not specified,Flexible schedule,Not specified,Not specified,22,287
Interpersonal Communication for Engineering Leaders,4.7,Not specified,Flexible schedule,Not specified,Not specified,22,171
Privacy in the Western World,4.5,Beginner level,Flexible schedule,Develop a clear concept of personal space and privacy in the context of history and international cooperation,Not specified,7,195
International Business Venturing Abroad,4.8,Beginner level,Flexible schedule,"Analyze the information needed to make going abroad decisions including timing, country selection, and mode of entry.Critique the advantages and disadvantages of exporting and evaluate exporting compared to other country entry modes.Critique the advantages/disadvantages of direct country entry and use this information to select the best entry mode for a given situation.Anticipate the challenges of working and living abroad and apply known methods of mitigating those challenges.","Import-Export, Country selection, Direct Foreign Investment, Expatriate life, Culture shock",11,65
"Fandom, Community, and Identity in Popular Music",0,Beginner level,Flexible schedule,"Define and describe the dynamics of popular music and its relationship with fandom, popular culture, and digital mediaApply critical self-reflection and close reading frameworks through analytical writing and creative expressionEngage with pop culture and fandom communities by leveraging online platforms to make connections and synthesize learningReflect on your personal relationship to popular music, popular art, and how popular culture intersects with memory and nostalgia","Critical Thinking, Communication, Creativity, Evaluation, analysis",12,0
La comunicación laboral en el siglo XXI ,4.5,Not specified,Flexible schedule,Not specified,Not specified,4,532
Privacy in the USA,4.3,Intermediate level,Flexible schedule,"Understand the legal fundamentals of American privacy law  and the role of the Supreme Court Create awareness for the role of privacy protection and the rule of law Learn about the human rights background of privacy protectionBecome aware of the essential role of law in designing IT, crypto and security systems ",Not specified,9,45
MV Substation - An industrial approach (PART-B),4.9,Intermediate level,Flexible schedule,Not specified,"Understanding of electrical schemes, Design concepts, Construction methodology, Holistic design/engineering approach",15,12
Strategic Customer Relationship Management & Sales Technique Specialization,0,Beginner level,Flexible schedule,"Develop a marketing-driven sales enablement strategy  Generate and manage leads with the HubSpot CRM and Sales Hub tools  Organize, visualize, and report on sales data with HubSpot’s CRM","Customer Relationship Management (CRM), Sales Enablement, Inbound Sales, Sales Process Engineering, Lead Management",120,0
C# Class Development,4.8,Intermediate level,Flexible schedule,Not specified,"Crt0, For Loop, Console Applications, Foreach Loop",28,43
Intermediate Object-Oriented Programming for Unity Games,4.6,Intermediate level,Flexible schedule,Not specified,Not specified,52,308
Skills for Nursing Informatics Leaders,4.8,Beginner level,Flexible schedule,Not specified,"Leadership, Nursing Informatics, Nursing, exercise",17,172
Understanding Political Concepts,0,Beginner level,Flexible schedule,How to unpack and reconstruct the key concepts of political scienceCritical thinking skills applied to political concepts,"Critical Thinking, Formal Concept Analysis, Research Methods, Political Science, Sociology",15,0
C++ Class Development,4.8,Intermediate level,Flexible schedule,Not specified,Not specified,18,14
Agile Leadership Capstone,4.9,Beginner level,Flexible schedule,"Apply parallel planning methodDevelop a strategy for personal, team, and organizational transformationCreate a plan for change",Not specified,6,366
Professional IQ Capstone,0,Beginner level,Flexible schedule,Not specified,Not specified,9,0
Nursing Informatics Training and Education,4.8,Intermediate level,Flexible schedule,Not specified,Not specified,21,84
Digital Safety and Security,0,Not specified,Flexible schedule,Not specified,Not specified,11,0
Digital Tools and Well-Being,0,Not specified,Flexible schedule,Not specified,Not specified,5,0
 مهارات التفكير الجانبي  | Lateral Thinking Skills,4.9,Beginner level,Flexible schedule,فهم قواعد وأساليب التفكير الجانبي وكيفية تنمية تلك المهارة،  كيفية التفكير خارج الصندوق، واستيعاب الفرق بين مفهوم التفكير الجانبي والتفكير المنطقي.,"حل المشكلات, الإدراك الذاتي, التحكم الذاتي",2,563
Giving Sense to Your Leadership Experience,4.6,Not specified,Flexible schedule,Not specified,"Communication, Leadership, Human Resources (HR)",21,487
Detect and Mitigate Ethical Risks,4.5,Beginner level,Flexible schedule, Summarize common sources of ethical risks.Detect and mitigate ethical risks.Evaluate risk identification and mitigation strategies within the lifecycle.Analyze a sample AI model and create a plan to mitigate any identified risks. ,"Ethics Of Artificial Intelligence, Risk Management, Privacy, Risk Assessment, General Statistics",19,79
"Visionary leadership, identity & motivation: Become a meaning maker",4.8,Beginner level,Flexible schedule,"Evaluate approaches to influencing and creating meaning at work  Evaluate and apply approaches to meaning making that play a role in aligning employee buy-in of organisational narratives  Evaluate, create and apply strategies to leverage meaning making through branding  Situate discussions of meaning making within broader social contexts and concerns.  ","Motivation, Communication, Leadership, Brand Management",29,763
Communicate Effectively about Ethical Challenges in Data-Driven Technologies,4.4,Beginner level,Flexible schedule,"Develop inclusive strategies to clearly communicate the business impacts of ethical risks to diverse stakeholders.Design communication strategies that are diverse, equitable, and inclusive.Design a crisis communication plan to manage internal and external stakeholders during an ethical controversy.","Communication, Marketing, Crisis Management, Business Strategy, Leadership And Management",13,71
Preparing for Your CertNexus Certification Exam,4.8,Beginner level,Flexible schedule,Differentiate between certifications and other validation techniques.  Schedule an exam on PearsonVUE and prepare to take an exam at a PearsonVUE test center or online via Pearson OnVUE.Discover tools to prepare for certification exams.Post and share your success after passing your CertNexus certification exam. ,"Schedule, Test Preparation, Online proctored, PearsonVUE, Certification",2,130
Applying to U.S. Universities,4.8,Beginner level,Flexible schedule,Not specified,Not specified,27,498
The Art of the Job Interview,4.5,Beginner level,Flexible schedule,Not specified,"Communication, Resume writing, Networking, Nonverbal Communication, job interviews",19,29
Develop a free website with WordPress,4.2,Intermediate level,Hands-on learning,add pages and posts to the website on WordPress and create content for the posts.,"Content Creation, Creativity, Social Media Platforms",1,62
Introducción a la programación con Python,4.6,Beginner level,Flexible schedule,Comprender los conceptos básicos de programación.  Entender cómo la computadora interpreta el código.  Crear tus propios scripts en Python y ejecutarlos (tanto los propios como los de otras personas).  Leer e interpretar código básico escrito en Python.  ,"Basic Programming Language, Python Implementations, Computer Programming, Python Programming",16,1676
Etkili Konuşma (Effective Speaking),4.8,Not specified,Flexible schedule,Not specified,Not specified,6,349
Mi Primer Empleo (MPE),4.7,Beginner level,Flexible schedule,Not specified,Not specified,8,371
Como influenciar pessoas,4.8,Not specified,Flexible schedule,Not specified,"Cost, Leadership, strategy, Influencing",11,58
الإدارة الفعالة للوقت | Effective Time Management,4.8,Beginner level,Flexible schedule,Not specified,"مبادئ تنمية بشرية, إدارة الوقت بفاعلية",1,192
الذكاء الاصطناعي للجميع,4.8,Beginner level,Flexible schedule,Not specified,Not specified,6,858
Career Planning:  A Pathway to Employment,4.7,Beginner level,Flexible schedule,Not specified,Not specified,24,170
Creating a Technology Startup Company,0,Beginner level,Flexible schedule,"By successfully completing this course,  you will be able to describe the meaning of entrepreneurial systems thinking.You will be able to identify the roles and responsibilities of founders, key management, and the board of directors.You will also be able to summarize the components of operations in a technology startup and the value of tools for tracking metrics.Lastly, you will be able to create Product, Market, and Management & Operations business plans.","Startups, technology, Entrepreneurship, Engineering, Engineering management",34,0
"A tanulás tanulása: Hatékony mentális eszközök, melyek segítenek megbirkózni a nehéz tantárgyakkal (Learning How to Learn)",4.9,Beginner level,Flexible schedule,Not specified,Not specified,15,274
Trabajar para ser feliz,4.8,Beginner level,Flexible schedule,Not specified,Not specified,21,494
الذكاء العاطفي | Emotional Intelligence,4.8,Beginner level,Flexible schedule,Not specified,"مبادئ تنمية بشرية, الذكاء العاطفي, مهارات ذاتية",1,311
Welcome to Munich,4.5,Beginner level,Flexible schedule,You will understand what makes Munich a special place to studyYou will know where you can get the most important information regarding your stay in Munich.You will be able to evaluate if Munich might be the right place for you to study and what possibilities in personal development you will gain.You will know about the timeline and the planning steps it takes to successfully apply and study in Munich.,Not specified,10,15
إدارة ضغوط الحياة  | Stress Management,4.9,Beginner level,Flexible schedule,تعرّف مفهوم الضغط وإدارة الضغوط.تصنّف أنواع الضغوط ومصدرها و تعدد أسباب الشعور بالضغوط.تشرح الأعراض الجسدية والنفسية والسلوكية للشعور بالضغوط و تحدد الآثار السلبية للضغوط في الحياة الشخصية والعملية.تقيّم قدرتك على التعامل مع الضغوط من خلال تطبيق مهارات إدارة الضغوط و تقيّم حياتك من خلال نموذج عجلة الحياة لتحقيق التوازن.,"التفكير الإيجابي, التحفيز الذاتي, التفويض, التحكم بالضغوط, إدارة الوقت",5,137
Gestión de las empresas de alimentación y bebidas,4.8,Not specified,Flexible schedule,Not specified,"Promotion And Marketing Communications, Strategic Management, Product Management, Marketing, Brand Management",11,803
التحدث والتواصل بثقة | Communicating With Confidence,4.9,Beginner level,Flexible schedule,تحديد طرق بناء مهارات التواصل مع الآخرين    شرح القدرة على التحكم وإدارة المشاعر السلبية    تطبيق مهارات تطوير لغة الجسد    تبني مهارات بناء الثقة لتقديم العروض التقديمية في العمل    ,"الخطابة العامة, لغة الجسد, الاتصال الشخصي, التواصل المهني",5,94
What does it mean to identify as Transgender or Gender Non-Conforming (TGNC)?,4.4,Beginner level,Flexible schedule,Not specified,Not specified,26,100
Fundamentos del Emprendimiento: Pensamiento y Acción,4.7,Not specified,Flexible schedule,Not specified,Not specified,5,665
"Comunicación, experimentación y aprendizaje en liderazgo",4.8,Intermediate level,Flexible schedule,"Desarrollar habilidades para investigar y movilizar un sistema humano a través de estrategias de ensayo, error, reflexión y aprendizajeDesarrollar habilidades sociales para crear lazos, alianzas, comunidades Desarrollar habilidades de comunicación para tener conversaciones incómodas, valientes y cruciales Desarrollar habilidades para crecer desde el fracaso ",Not specified,22,516
Hearing Loss in Children,4.9,Intermediate level,Flexible schedule,Identify components of ear anatomy.Interpret an audiogram to identify the type and degree of hearing loss.Describe non-surgical and surgical interventions for children identified with permanent hearing loss.Identify components of the vestibular system.,"hearing loss risk factors, hearing loss assessment, vestibular system, ear anatomy",16,198
التفكير الناقد | Critical Thinking,4.9,Intermediate level,Flexible schedule,تعريف مفهومالتفكير وخصائصه ومستوياته.  تحليل أنماطالتفكير الناقد.  تنمية مهارات التفكير الناقد من خلال التمارين العملية.   تعريف مفهوم التفكير الإيجابي، وعلاقته بالتفكير الناقد.  ,"التفكير الإيجابي, لتفكير الناقد, حل المشاكل, التفكير التحليلي",5,933
مهارات العرض والتقديم | Presentation Skills,4.8,Beginner level,Flexible schedule,Not specified,مهارات العرض والتواصل,1,70
فن الإقناع | The Art of Persuasion,4.9,Beginner level,Flexible schedule,Not specified,"فن التعامل, فن الإقناع, مهارات التواصل",1,20
Applying to College 101,0,Beginner level,Flexible schedule,Not specified,Not specified,15,0
الخطابة الإقناعية: تحفيز الجماهير بالحجج المُقنِعة واللغة المؤثِّرة,4.7,Beginner level,Flexible schedule,Not specified,"Analytic Hierarchy Process, Cognitive Information Processing, Anti-Pattern, Organizational Communication",15,76
Comprender las dimensiones interculturales en la cotidianidad,4.8,Intermediate level,Flexible schedule,"Desarrollar actitudes, valoraciones y/o acciones (auto)reflexivas relacionadas con su historicidad, sus identidades; y su discurso.Considerar formas de alteridad, construir espacios terceros y jugar el papel de mediador intercultural en interacciones y experiencias sociales.","Comunicación asertiva, Interculturalidad, Reflexividad, Pensamiento crítico, Autonomía",26,348
خدمة العملاء | Customer Service,4.8,Beginner level,Flexible schedule,Not specified,"المهارات الخدمية, خدمة العملاء, مهارات التواصل",1,126
Administración para obtener resultados,4.9,Beginner level,Flexible schedule,Not specified,Not specified,11,509
 إدخال البيانات في مايكروسوفت إكسل,4.8,Beginner level,Flexible schedule,Not specified,"ادخال البيانات, الاكسيل",1,16
Exploring Emerging Technologies for Lifelong Learning and Success,4.3,Beginner level,Flexible schedule,Identify the value and implications of using established and emerging technology tools for personal and professional growth.Gain strategies to develop lifelong learning habits to keep pace with technology change.,"Critical Thinking, Communication & Collaboration, Creativity, emerging technologies, Lifelong Learning",3,425
Leading Oneself with Purpose and Meaning,4.9,Beginner level,Flexible schedule,Reflect on what it means to you to live a good life so you can live with intent.Define the elements of a personal ethos and understand how to lead a values-based life.Reflect on how important legacy is to you and how it can shape your actions and behaviors.,"Purpose, character, Excellence, Values, meaning",33,19
Teaching Science at University,4.6,Beginner level,Flexible schedule,Not specified,Not specified,14,171
Career Options: Exploring a New Career,4.1,Beginner level,Flexible schedule,Not specified,Not specified,24,47
مهارات إدارة التغيير الذاتي,4.9,Beginner level,Flexible schedule,Not specified,"مبادئ تنمية بشرية, مهارات إدارة التغيير الذاتي",2,119
مهارات تنشيط الذاكرة | Memory Enhancing Skills,4.9,Beginner level,Flexible schedule,فهم ماهية الذاكرة وأنواعها وشرح آلية عمل الذاكرةالتعرف على أهم أشكال اضطرابات الذاكرة وتبيان الفرق بين أنواع النسيانشرح أهم الطرق التي تساعد على التذكرتطبيق المبادئ العامة لتنشيط وإنعاش الذاكرة,"التركيز, الثقة بالنفس, تنشيط الذاكرة, التفكير التحليلي, الحفظ والتذكر",9,19
Energy management for real estate. Methods and digital tools,4.5,Beginner level,Flexible schedule, To identify the main role and duties of the energy manager  To know the current energy framework To assess the energy audit of the building  To perform a proper digital energy model of the buildings ,Not specified,4,60
